PAR ID,SUB,PRED,OBJ
59160094-11,neelam_pol,occupation,education
59172320-3,isabel_pesce_mattos,occupation,microsoft
59719125-4,graça_carvalho,occupation,university
59764371-1,wang,occupation,halıcıoğlu_data_science_institute
59785710-1,george_danezis,occupation,university_college_london
59785710-5,george_danezis,occupation,ku_leuven
60100206-7,abdigani_diriye,occupation,carnegie_mellon_university
61395474-4,jovany_javier,occupation,american_idol
62035643-6,james,occupation,distributed_systems
62177563-4,bonnie_jean_dorr,occupation,darpa
62180263-4,joseph_e_oliger,occupation,national_center
62544831-3,dragoș_tudorache,occupation,department
62562787-5,ann_mcilraith,occupation,xerox
62562787-7,sheila_ann,occupation,stanford_university
62634682-2,robert_allen,occupation,nasa
62798611-3,cassie_kozyrkov,occupation,university
63016369-5,mia,occupation,telecom
63303438-3,eric_gilbert,occupation,plato
63653633-5,mukoda_zabwe,occupation,academic
64144636-5,sonajharia_minz,occupation,department
64325161-3,jiliang_tang,occupation,yahoo_labs
64832135-1,diana,occupation,natural_language
64861733-5,vadym_kaydash,occupation,department
65356532-3,alexander_gammerman,occupation,agrophysical_research_institute
66205269-5,rinki_sethi,occupation,vp
66296215-6,shao,occupation,senior_scientist
66856383-9,shaundra_bryant_daily,occupation,washington_post
67073893-3,michael_williams,occupation,imperial_college_london
67083684-1,mihaela_sighireanu,occupation,paris-saclay_university
67152985-5,bibhuti_roy,occupation,university
67869116-1,oliver_zahn,occupation,ceo
67930431-11,ashley_gavin,occupation,mit_lincoln_lab
67937750-5,geetha_manjunath,occupation,lab
67987555-3,margrét_frímannsdóttir,occupation,stokkseyri
68191496-3,donna_lee_hudson,occupation,university
68751210-4,nashlie_h_sephus,occupation,exponent
68763613-4,lu_jun,occupation,electronic_science_research_institute
68864458-1,malone_m_harmon,occupation,electronic
68864458-6,malone_m_harmon,occupation,computer_sciences_corporation
68947705-1,ann_yanco,occupation,distinguished_university
69313367-1,geula_malkin,occupation,columbia_university
69633259-6,hugo_krawczyk,occupation,associate
69821983-5,kathryn_d_huff,occupation,los_alamos_national_laboratory
69821983-5,kathryn_d_huff,occupation,university
69821983-5,kathryn_d_huff,occupation,university
69860733-3,hagit_shatkay,occupation,queen
69900061-5,seny_kamara,occupation,aroki_systems
70009490-2,andrew_thomas_campbell,occupation,android
70125435-8,erill,occupation,tf
70830119-3,chelsea_finn,occupation,google_brain
70966191-3,jessica_vitak,occupation,pew_research_center
71179413-4,barna_saha,occupation,university
388776-2,warren_robinett,educated at,rice_university
469029-3,barnet,educated at,university
921332-4,enrico_colantoni,educated at,yale_school
922620-3,peter_mattis,educated at,university
1408215-6,trung_dung,educated at,math
2164471-11,parimarjan_negi,educated at,stanford_university
2172777-3,david_william_masser,educated at,trinity_college
2325417-4,danny_lui_tam,educated at,imperial_college
3028895-4,peyman_faratin,educated at,university
3174690-3,charles_paulson,educated at,california_institute
3617848-3,peyton_jones,educated at,trinity_college
3687431-4,min_h_kao,educated at,national_taiwan_university
3821777-4,lori,educated at,ucla
4247261-3,oren_patashnik,educated at,yale_university
4662249-5,james_moon_whitehurst,educated at,rice_university
5666643-3,montana,educated at,central_washington_university
6227152-3,colonel_william_kelsey_lanman_jr,educated at,yale_university
6227152-3,james_lanman,educated at,yale_college
6227152-3,colonel_william_kelsey_lanman_jr,educated at,yale_college
6227152-5,naval_aviator,educated at,naval_aviation_school
7214441-4,jerry,educated at,rutherford_high_school
10163887-4,david,educated at,university
12296704-3,michael_barr,educated at,university
12702375-3,bill_westenhofer,educated at,brookfield_high_school
12748781-4,clyde,educated at,brandeis_university
13739840-3,roy_nutt,educated at,trinity_college
14765632-3,narku_quaynor,educated at,dartmouth_college
15250170-4,mendel_rosenblum,educated at,university
15919522-3,aleksandr_pavlovich_kurynov,educated at,kazan_aviation_institute
18651665-3,pierre_huet,educated at,université_denis_diderot
18762710-3,damian_mcdonnell,educated at,salesian_college
18875460-11,navīd_māšīn_cī,educated at,bachelor
18875460-11,navīd_māšīn_cī,educated at,university
19317288-3,tianwen_tony_cai,educated at,department
19419976-3,edouard,educated at,eth_zurich
23274584-3,carnegie_mellon_university,educated at,cmu
24042963-7,vincent_lecrubier,educated at,isae
24230670-3,lars_eilstrup_rasmussen,educated at,university
24980042-4,amanda_susan_barnard,educated at,royal_melbourne_institute
26685191-5,arnab_ray,educated at,jadavpur_university
29281047-3,michael_b,educated at,university
30783354-3,granger_atkeson,educated at,harvard_university
31509471-2,zhang,educated at,nanjing_university
33239190-4,peter_macdonald,educated at,computer_science
34011462-3,arjun_modhwadia,educated at,lukhdhirji
34138466-7,essex,educated at,cambridge_university
36391995-3,john_miles,educated at,university
36579282-2,jerman_blažič,educated at,university
36735207-5,pandey,educated at,kanpur_university
36874353-3,arabic,educated at,college
40387382-4,jenő_szép,educated at,miklós_zrínyi_real_high_school
40597186-3,william_strong,educated at,stanford_university
40872219-8,walter_suhr,educated at,university
41642879-6,arab_emirates,educated at,manipal_university
41755355-3,ronald_d_schrimpf,educated at,university
42533332-3,irene_greif,educated at,mit
43406511-3,hung_wong,educated at,university
43827527-5,james,educated at,harvard_university
44832050-3,elizabeth_shipley,educated at,harvard_university
44900581-3,claudia_maria_neuhauser,educated at,heidelberg_university
45210422-3,anne-marie_mineur,educated at,utrecht_university
45346981-7,marcin_kamiński,educated at,university
46972289-3,carol_dianne_briggs_martin,educated at,oxon_hill_high_school
47153257-4,rapelang_rabana,educated at,university
48489328-6,dan_hammer,educated at,swarthmore_college
48633145-3,scott_phoenix,educated at,university
49481662-3,east_germany,educated at,friedrich_schiller_university
49506620-3,sylvia_ratnasamy,educated at,university
51162875-3,javier,educated at,swarthmore_college
51239375-3,remi,educated at,grenoble_institute
51239375-3,remi,educated at,harvard_business_school
52104955-4,hernandez,educated at,university
54248423-10,kumar_guddolian,educated at,department
54399400-2,henry_lau_yee_cheung,educated at,university
54819266-3,dominique_faugeras,educated at,école_polytechnique
55193707-3,ali_almossawi,educated at,university_of_east_anglia
55840640-2,wei,educated at,university
56312383-4,islam_raja,educated at,university
56388586-3,wilson,educated at,university
56388586-3,wilson,educated at,university
56561750-11,alex_epstein,educated at,yale
56561750-11,alex_epstein,educated at,ucla_school
57280459-5,janusz_kacprzyk,educated at,warsaw_university
57680367-3,robin_roberson_murphy,educated at,georgia_tech_college
57742309-3,serge_faguet,educated at,cornell_university
58126837-3,tauman_kalai,educated at,hebrew_university
58828437-3,garlin_gilchrist_ii,educated at,university
58945261-5,izrailov,educated at,yale_university
59272738-3,benjamin_alarie,educated at,university
59764371-3,wang,educated at,tsinghua_university
60903976-2,allan_l_scherr,educated at,baltimore_polytechnic_institute
